exercise_id,name,spanish_name,coloquial_name,Músculo Principal,pattern,role,main_muscle,link,equipment,unilateral,level
ex_042,Dumbbell Seated Overhead Tricep Extension,Extensión de tríceps con mancuerna por encima de la cabeza (sentado),,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-seated-overhead-tricep-extension,dumbbell,No,Intermedio
ex_043,Machine Cable V Bar Push Downs,Extensiones de tríceps en polea con barra en V,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/machine-cable-v-bar-push-downs,machine,No,Principiante
ex_044,Bench Dips,Fondos en banco,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/bench-dips,bodyweight,No,Principiante
ex_045,Barbell Laying Triceps Extensions,Press Francés con Barra,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/barbell-laying-triceps-extensions,barbell,No,Intermedio
ex_046,Kettlebell Skull Crusher,Press francés con pesa rusa,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-skull-crusher,machine,No,Intermedio
ex_047,Kettlebell Standing Tricep Extension,Extensión de tríceps de pie con pesa rusa,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-standing-tricep-extension,machine,No,Principiante
ex_048,Kettlebell Decline Skull Crusher,Extensión De Tríceps Declinada Con Pesa Rusa,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-decline-skull-crusher,machine,No,Avanzado
ex_049,Kettlebell Tate Press,Tate press con kettlebell,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/kettlebell-tate-press,machine,No,Intermedio
ex_050,Triceps Stretch Variation Three,Estiramiento De Tríceps Variación Tres,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/triceps-stretch-variation-three,machine,No,Principiante
ex_051,Triceps Stretch Variation Two,Estiramiento de Tríceps Variación Dos,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/triceps-stretch-variation-two,machine,No,Principiante
ex_052,Triceps Stretch Variation One,Estiramiento De Tríceps Variación Uno,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/triceps-stretch-variation-one,machine,No,Principiante
ex_053,Diamond Push Ups,Flexiones en diamante,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/diamond-push-ups,bodyweight,No,Principiante
ex_054,Barbell Close Grip Bench Press,Press de banca con agarre cerrado (barra),,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/barbell-close-grip-bench-press,barbell,No,Intermedio
ex_055,Cable Rope Pushdown,Extensión de Tríceps en Polea Alta con Cuerda,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/cable-rope-pushdown,cable,No,Principiante
ex_056,Cable Cross Pushdown,Extensión de Tríceps en Polea Cruzada,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/cable-cross-pushdown,cable,No,Avanzado
ex_057,Cable Rope Skullcrusher,Extensión de tríceps en polea con cuerda,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/cable-rope-skullcrusher,cable,No,Principiante
ex_058,Cable Rope Overhead Tricep Extension,Extensión de tríceps por encima de la cabeza con cuerda en polea,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/cable-rope-overhead-tricep-extension,cable,No,Principiante
ex_059,Band Overhead Tricep Extension,Extensión de tríceps por encima de la cabeza con banda elástica,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/band-overhead-tricep-extension,machine,No,Avanzado
ex_060,Band Pushdown,Extensión de tríceps con banda,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/band-pushdown,machine,No,Principiante
ex_061,Band Skullcrusher,Extensión de tríceps con banda,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/band-skullcrusher,machine,No,Avanzado
ex_062,Dumbbell Skullcrusher,Extensión de tríceps con mancuernas,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-skullcrusher,dumbbell,No,Principiante
ex_063,Barbell Skullcrusher,Press francés con barra,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/barbell-skullcrusher,barbell,No,Intermedio
ex_064,Barbell Overhead Tricep Extension,Extensión de tríceps con barra por encima de la cabeza,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/barbell-overhead-tricep-extension,barbell,No,Avanzado
ex_065,Dumbbell Decline Skullcrusher,Press francés declinado con mancuernas,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-decline-skullcrusher,dumbbell,No,Principiante
ex_066,Dumbbell Rolling Tricep Extension,Extensión de Tríceps con Mancuerna Rodante,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-rolling-tricep-extension,dumbbell,No,Avanzado
ex_067,Dumbbell Overhead Tricep Extension,Extensión de tríceps por encima de la cabeza con mancuerna,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-overhead-tricep-extension,dumbbell,No,Principiante
ex_068,Dumbbell Tricep Kickback,Patada de Tríceps con Mancuerna,,Tríceps,arm,isolation,Triceps,https://musclewiki.com/es-es/exercise/dumbbell-tricep-kickback,dumbbell,No,Principiante
